status,full_text,id_str
netral,Gila banget uni Sofie lulusan Goldsmith ngata2in Pak Onno yang rela resign dari ITB demi bangun (hampir dari nol) jaringan internet gratis seindonesia. IGRS kacau banget: ya. Tapi lulusan Goldsmith sampai ngata2in Pak @onnowpurbo ga kaget yg lainnya maki kurang ajar Pak Onno,2041776274432258107
negatif,Udah sok tau dongo lagi gak bisa baca. Jelas-jelas minta maafnya ke user karena Komdongo gak becus godok IGRS.,2041775922001670443
negatif,Indonesia tuh gak akan ada berhentinya lucu abis IGRS terus RRQ.. kaya dirancang buat abis segmen 1 ke segmen 2 gitu dar der dor lucunya cik.. https://t.co/Cgb36UBSB2,2041775913076191566
netral,IGRS udah dibahas channel gaming di Youtube kalian komdigoon sudah go internasional https://t.co/FLdbdZfKfv,2041775653599768876
negatif,@Bram_no3 @sanggarrrr @23compiled @ero_semut @onnowpurbo Nah kalo usulan dan tertulis berarti memang ada niat IGRS bisa jadi karet sehingga bisa dijadikan device penerimaan negara kan? Usulan itu nantinya buat perumusan program jadinya tidak bisa diabaikan. Bedakan penerimaan pajak vs penerimaan non-pajak.,2041774824822124771
netral,Valve Minta Maaf soal Polemik Rating IGRS di Steam Ini Klarifikasinya https://t.co/78hfl8p2II,2041773594280390904
positif,@Bram_no3 @sanggarrrr @23compiled @ero_semut @onnowpurbo Justru harusnya tidak sampai ke arah bisnis yang saya maksud ini IGRS dengan state sekarang bisa mempengaruhi distribusi yang harusnya ranahnya bisnis dengan teks di perpres no 19 tahun 2024,2041773527213469828
negatif,@kurawa Steam udah selesai komdigi belum. Lagian ngapain pula ada IGRS kalo appnya udah punya filter usia/genre sendiri kocak bgt instansi sering afk sekalinya gerak bisanya nyusahin,2041771874183737850
netral,@kurawa Steam itu minta maaf sama customer. Bukan IGRS. Baca teliti baik-baik pak. Jangan suka malas baca.,2041771227895980496
negatif,@kurawa Eh kurawa lu kan buzzer/ordal pemerintah beritahu ke teman2 ente gak usah repot2 bikin IGRS (dan sejenis) di STEAM tambah kelihatan TOLOL soalnya. Pakai rating global yang ada aja beres. Kalau KOMDIGI mau keren tuh ada JUDOL. Cari cara deh gimana hilangnya.,2041770661413319004
negatif,@kurawa IGRS minimal sebelum bikin rate mainin dulu game nyawkwkwk,2041768868759400489
netral,@DamienShop32847 Bro kok malah bahas orang lain yang nyenggol voters? Disini saya meluruskan tentang pendapat anda tentang IGRS Kalo soal senggol menyenggol itu urusan lain lagi Gua nga peduli soal yang senggol menyenggol voters bukan urusan saya Langsung aja debat sama yang senggol kalo itu.,2041768574646415375
netral,@Bram_no3 @sanggarrrr @23compiled @ero_semut @onnowpurbo Steam bukan stream mas. Kalo itu ranahnya udah kriminal kalo ranah kriminal dijadikan satu dengan ranah edukasi konten digital maka pasal yang muncul bisa karet. Jadi IGRS ini mau jadi sarana edukasi apa penegakan hukum?,2041766105056956550
negatif,@kurawa Ibarat lempar batu sembunyi tangan dan nyalahin orang orang yang Lo salahin minta maaf e lolot kalau itu game gak layak di distribusikan game-nya gak bisa dimainkan. Makanya Steam minta maaf untuk user karena gamenya gak bisa dimainkan bukan ke igrs makanya sistem Lo perbaiki,2041765548418330982
netral,@Info_SerieA Menurut keyakinan saya. Intinya adl steam lagi take down rating umur yg ada di steam karena belom sesuai antara rating yg dari platform maupun dari IGRS. Nah ini bisa jadi IGRS ngasih info rating umurnya kaga jelas jadinya gimana makanya yg kemaren ditampilin itu dr sisi dev nya,2041764849395626220
netral,@kurawa Belajar bahasa inggris yg bener gih. Mohon maaf atas ketidaknyamanannya. Kok jadi permintaan maaf ke IGRS sama komdigi...wkwkwkw,2041764584508551197
netral,Fine I guess I have to talk about this. Dek kakak ajarin caranya membaca nuance yang benar yah belajar bahasa Inggris jangan dari situs judol ajah. Mas Uap ini minta maafnya kepada user bukan ke IGRS atau anda. Ini tuh untuk melindungi user dari adek. Done yah ..,2041764116130623554
negatif,OPINI - Arogansi Berbaju Regulasi: Saat Komdigi Berlagak Jadi 'Penentu Kebenaran' dari IGRS hingga Kasus Magdalene https://t.co/efU0ZgcF2i,2041763636516155758
netral,Melihat manuver penyensoran yang arogan ini kita patut bertanya-tanya: Apakah ini Orde Baru versi paling baru? https://t.co/qDki6LMvCR,2041763490801840433
